"año";"millones_de_pesos"
"2012";"32.62"
"2013";"23.00"
"2014";"17.04"
"2015";"14.00"
"2016";"18.43"
"2017";"27.30"
"2018";"25.94"
"2019";"25.00"
"2020";"25.00"
"2021";"25.00"
"2022";"525.00"
