"año";"millones_de_pesos"
"2010";"300"
"2011";"300"
"2012";"300"
"2013";"253"
"2014";"247"
"2015";"246"
"2016";"265"
"2017";"557"
"2018";"571"
"2019";"571"
"2020";"571"
"2021";"1212"
"2022";"5712"
"2023";"9000"
